;date;variation;VADER score
1;14/08/2019 09:31;-0,6603;-0,5574
2;14/08/2019 09:31;-0,6603;-0,8126
3;14/08/2019 09:31;-0,6603;-0,5574
4;14/08/2019 09:31;-0,6603;-0,8126
5;14/08/2019 09:31;-0,6603;-0,8260
6;14/08/2019 10:34;-0,5900;-0,7615
7;15/08/2019 09:31;-0,1881;-0,4767
8;15/08/2019 12:31;-0,4108;-0,5719
9;16/08/2019 09:31;-0,2239;-0,6808
10;16/08/2019 09:31;-0,2239;-0,5719
11;16/08/2019 09:31;-0,2239;-0,6808
12;16/08/2019 09:31;-0,2239;-0,5719
13;16/08/2019 09:31;-0,2239;-0,9413
14;16/08/2019 09:31;-0,2239;-0,5719
15;19/08/2019 09:31;-0,5232;-0,9209
16;19/08/2019 09:31;-0,5232;-0,4767
17;19/08/2019 09:31;-0,5232;-0,9209
18;19/08/2019 09:31;-0,5232;-0,4767
19;19/08/2019 09:31;-0,5232;-0,7906
23;21/08/2019 10:18;-0,9716;-0,4939
24;22/08/2019 09:31;-0,7248;-0,3164
25;22/08/2019 12:08;-0,6952;-0,8625
28;26/08/2019 15:53;2,3502;0,7506
33;27/08/2019 09:48;-0,5331;-0,1154
42;05/09/2019 09:31;-0,4240;-0,7408
44;05/09/2019 09:31;-0,4240;-0,7408
45;05/09/2019 09:31;4,1309;0,4215
47;05/09/2019 09:31;4,1309;0,4215
50;05/09/2019 13:00;-0,5245;-0,8750
51;06/09/2019 09:31;0,3169;0,7906
53;06/09/2019 09:31;0,3169;0,7906
55;09/09/2019 09:31;0,2768;0,6808
56;09/09/2019 09:31;0,2768;0,6808
57;09/09/2019 09:31;0,2768;0,6808
58;09/09/2019 09:31;0,2768;0,6808
59;09/09/2019 09:31;0,2768;0,4215
60;09/09/2019 09:31;0,2768;0,6808
61;09/09/2019 09:31;0,2768;0,6808
62;09/09/2019 09:31;0,2768;0,6808
63;09/09/2019 09:31;0,2768;0,6808
64;09/09/2019 09:31;0,2768;0,4215
65;09/09/2019 09:31;0,2768;0,1027
66;09/09/2019 10:10;-0,1742;-0,5859
69;10/09/2019 09:31;0,0690;0,2960
71;12/09/2019 09:31;-0,0998;-0,5106
74;12/09/2019 09:31;-0,0998;-0,5106
78;12/09/2019 10:46;-0,3404;-0,6482
99;16/09/2019 09:31;0,4659;0,4215
123;16/09/2019 09:31;0,4659;0,0772
128;16/09/2019 09:31;0,4659;0,4215
143;16/09/2019 09:31;0,4659;0,8885
146;16/09/2019 09:31;0,4659;0,3612
158;16/09/2019 09:34;-0,2667;-0,7650
159;16/09/2019 09:35;-0,2336;-0,7783
163;16/09/2019 10:34;0,4316;-0,2960
166;16/09/2019 13:41;-0,0986;-0,9153
167;16/09/2019 14:10;-0,2630;-0,7783
168;16/09/2019 14:43;0,0987;0,3400
170;17/09/2019 09:31;-1,4449;-0,1280
171;17/09/2019 09:31;-1,4449;-0,8074
173;17/09/2019 09:31;-1,4449;-0,1280
174;17/09/2019 09:31;-1,4449;-0,8074
176;18/09/2019 10:07;0,2688;0,5106
177;18/09/2019 13:50;-0,8108;-0,6705
178;19/09/2019 11:11;-0,1020;-0,4724
179;20/09/2019 10:01;-0,0359;-0,3182
181;23/09/2019 09:31;0,4501;0,6841
183;23/09/2019 09:31;0,4501;0,6841
