;date;variation;VADER score;favorites;weekday;date_backup
33;13/09/2019 14:06;-0,5700;-0,8316;1;4;13/09/2019 14:06
257;24/10/2019 15:26;-0,0868;-0,7096;1;3;24/10/2019 15:26
258;24/10/2019 15:08;-0,0867;0,0000;4;3;24/10/2019 15:08
260;24/10/2019 13:30;-0,0866;0,1655;15;3;24/10/2019 13:30
43;19/09/2019 09:31;-0,0861;-0,1531;46;3;19/09/2019 03:57
44;19/09/2019 09:31;-0,0861;0,0880;40;3;19/09/2019 01:22
264;24/10/2019 11:00;-0,0843;0,0000;1;3;24/10/2019 11:00
352;23/10/2019 13:16;-0,0604;0,6679;13;2;23/10/2019 13:16
156;25/10/2019 13:25;-0,0417;0,4404;1;4;25/10/2019 13:25
153;25/10/2019 14:55;-0,0415;-0,5740;2;4;25/10/2019 14:55
32;10/09/2019 09:31;0,0000;0,7469;422;1;10/09/2019 07:33
36;16/09/2019 11:04;0,0000;0,7184;162;0;16/09/2019 11:04
13;21/08/2019 13:23;0,0036;0,8402;45;2;21/08/2019 13:23
34;16/09/2019 09:31;0,0395;0,8481;104;5;14/09/2019 18:33
35;16/09/2019 09:31;0,0395;0,7783;102;4;13/09/2019 19:38
150;25/10/2019 15:13;0,0416;0,8225;636;4;25/10/2019 15:13
151;25/10/2019 15:13;0,0416;0,8225;636;4;25/10/2019 15:13
161;25/10/2019 11:01;0,0421;0,6892;1;4;25/10/2019 11:01
149;25/10/2019 15:22;0,0831;0,5423;17;4;25/10/2019 15:22
29;30/08/2019 09:31;0,0906;0,3612;198;4;30/08/2019 07:18
30;30/08/2019 09:31;0,0906;-0,6705;74;4;30/08/2019 03:20
23;26/08/2019 13:57;0,1121;-0,4215;39;0;26/08/2019 13:57
1;13/08/2019 14:32;0,1281;-0,7269;11;1;13/08/2019 14:32
31;09/09/2019 10:01;0,1312;-0,6486;64;0;09/09/2019 10:01
353;23/10/2019 11:00;0,1721;0,0000;1;2;23/10/2019 11:00
263;24/10/2019 11:59;0,1725;0,6908;22;3;24/10/2019 11:59
12;21/08/2019 12:44;0,1846;0,5267;427;2;21/08/2019 12:44
28;29/08/2019 14:27;0,1882;-0,3612;1097;3;29/08/2019 14:27
157;25/10/2019 13:01;0,2089;0,4374;1;4;25/10/2019 13:01
268;24/10/2019 09:53;0,2153;0,7717;19;3;24/10/2019 09:53
259;24/10/2019 14:16;0,2168;0,1406;3;3;24/10/2019 14:16
39;16/09/2019 15:56;0,2541;0,0000;581;0;16/09/2019 15:56
355;23/10/2019 10:48;0,2578;0,3612;28;2;23/10/2019 10:48
261;24/10/2019 13:05;0,2597;-0,1280;1;3;24/10/2019 13:05
148;25/10/2019 15:37;0,2913;-0,2500;11;4;25/10/2019 15:37
354;23/10/2019 10:49;0,3439;-0,5719;2;2;23/10/2019 10:49
46;23/09/2019 09:31;0,3440;0,0000;70;0;23/09/2019 09:09
47;23/09/2019 09:31;0,3440;0,2732;23;0;23/09/2019 06:00
48;23/09/2019 09:31;0,3440;0,4404;50;6;22/09/2019 08:31
49;23/09/2019 09:31;0,3440;-0,4939;141;6;22/09/2019 00:02
50;23/09/2019 09:31;0,3440;0,2732;151;5;21/09/2019 07:46
51;23/09/2019 09:31;0,3440;0,4019;32;5;21/09/2019 05:01
262;24/10/2019 12:40;0,3898;0,0000;3;3;24/10/2019 12:40
162;25/10/2019 11:00;0,4209;0,4019;2;4;25/10/2019 11:00
265;24/10/2019 10:39;0,4723;0,1027;7;3;24/10/2019 10:39
45;19/09/2019 09:47;0,5172;-0,8020;30;3;19/09/2019 09:47
163;25/10/2019 10:49;0,7582;0,4215;19;4;25/10/2019 10:49
267;24/10/2019 10:09;0,7792;0,8509;10;3;24/10/2019 10:09
52;30/09/2019 09:31;0,7906;-0,2023;42;6;29/09/2019 17:42
266;24/10/2019 10:16;0,8225;-0,1280;1;3;24/10/2019 10:16
16;23/08/2019 09:31;0,9302;-0,1045;107;4;23/08/2019 06:13
40;17/09/2019 09:31;0,9821;0,6486;85;1;17/09/2019 08:38
41;17/09/2019 09:31;0,9821;-0,6360;2;1;17/09/2019 00:30
42;17/09/2019 09:31;0,9821;0,0000;129;0;16/09/2019 21:03
